iter	Passed	Remaining
0	30	302472
1	59	296440
2	77	257041
3	112	280718
4	161	321998
5	214	358016
6	286	408312
7	318	397251
8	351	390559
9	384	384302
10	430	390923
11	477	397725
12	525	403346
13	569	406047
14	615	409631
15	640	399414
16	680	399880
17	725	402497
18	760	399489
19	804	401669
20	850	403917
21	892	404973
22	937	406674
23	981	407837
24	1026	409557
25	1069	410442
26	1094	404123
27	1134	404191
28	1178	405258
29	1223	406629
30	1271	408875
31	1318	410737
32	1357	410138
33	1399	410322
34	1453	413884
35	1496	414237
36	1541	415026
37	1578	413734
38	1621	414020
39	1666	415036
40	1711	415765
41	1747	414355
42	1793	415184
43	1837	415780
44	1867	413059
45	1909	413127
46	1953	413710
47	1998	414393
48	2042	414772
49	2085	414942
50	2108	411382
51	2150	411312
52	2196	412188
53	2241	412934
54	2287	413644
55	2332	414155
56	2376	414541
57	2421	415092
58	2463	415129
59	2506	415289
60	2550	415523
61	2596	416159
62	2639	416389
63	2684	416833
64	2726	416720
65	2770	416988
66	2800	415178
67	2842	415162
68	2887	415537
69	2937	416771
70	2983	417193
71	3031	417979
72	3045	414170
73	3090	414487
74	3101	410495
75	3143	410458
76	3194	411651
77	3243	412593
78	3288	412923
79	3330	413039
80	3375	413394
81	3419	413582
82	3465	414027
83	3509	414252
84	3527	411525
85	3573	411959
86	3627	413345
87	3672	413700
88	3717	414000
89	3799	418353
90	3852	419516
91	3896	419598
92	3937	419497
93	3984	419857
94	4026	419856
95	4070	419911
96	4112	419852
97	4155	419838
98	4201	420228
99	4250	420767
100	4293	420823
101	4339	421149
102	4365	419448
103	4406	419282
104	4451	419494
105	4494	419475
106	4538	419599
107	4583	419807
108	4627	419938
109	4670	419953
110	4715	420127
111	4758	420098
112	4802	420177
113	4846	420265
114	4891	420477
115	4936	420614
116	4982	420859
117	5026	420957
118	5068	420880
119	5117	421318
120	5162	421454
121	5205	421476
122	5250	421649
123	5298	422022
124	5343	422174
125	5388	422286
126	5434	422463
127	5479	422605
128	5521	422535
129	5566	422627
130	5624	423721
131	5669	423843
132	5712	423780
133	5735	422271
134	5778	422281
135	5834	423203
136	5879	423248
137	5924	423405
138	5966	423252
139	6011	423378
140	6056	423453
141	6100	423524
142	6145	423618
143	6193	423924
144	6242	424245
145	6287	424361
146	6331	424410
147	6375	424415
148	6418	424382
149	6464	424488
150	6510	424651
151	6554	424672
152	6614	425708
153	6674	426706
154	6716	426592
155	6761	426670
156	6806	426708
157	6849	426632
158	6894	426698
159	6941	426885
160	6988	427092
161	7031	427017
162	7075	426999
163	7120	427064
164	7164	427068
165	7208	427012
166	7254	427165
167	7279	426036
168	7323	426007
169	7366	425932
170	7414	426209
171	7460	426315
172	7510	426609
173	7530	425228
174	7560	424489
175	7605	424552
176	7647	424432
177	7693	424499
178	7738	424561
179	7748	422749
180	7789	422555
181	7834	422624
182	7878	422665
183	7924	422729
184	7969	422800
185	8014	422872
186	8065	423244
187	8112	423382
188	8158	423497
189	8187	422744
190	8229	422658
191	8276	422810
192	8322	422881
193	8363	422745
194	8408	422781
195	8452	422808
196	8476	421797
197	8518	421710
198	8564	421789
199	8610	421916
200	8654	421897
201	8684	421224
202	8726	421172
203	8771	421185
204	8815	421230
205	8860	421275
206	8905	421332
207	8951	421418
208	8997	421503
209	9044	421626
210	9087	421612
211	9132	421632
212	9177	421687
213	9225	421894
214	9269	421860
215	9322	422285
216	9362	422086
217	9407	422129
218	9454	422242
219	9500	422320
220	9547	422466
221	9598	422747
222	9647	422993
223	9695	423122
224	9740	423174
225	9788	423337
226	9832	423310
227	9855	422400
228	9900	422426
229	9949	422658
230	10001	422968
231	10051	423208
232	10102	423497
233	10146	423463
234	10190	423452
235	10241	423709
236	10316	424958
237	10364	425135
238	10411	425220
239	10453	425089
240	10477	424262
241	10492	423087
242	10532	422908
243	10577	422928
244	10619	422840
245	10670	423074
246	10719	423269
247	10767	423398
248	10815	423540
249	10854	423342
250	10897	423260
251	10945	423414
252	10994	423563
253	11042	423702
254	11092	423893
255	11139	424009
256	11192	424329
257	11245	424632
258	11299	424956
259	11348	425138
260	11398	425332
261	11444	425357
262	11490	425420
263	11536	425441
264	11550	424322
265	11590	424157
266	11626	423826
267	11671	423832
268	11716	423848
269	11764	423945
270	11810	423993
271	11857	424097
272	11910	424370
273	11959	424507
274	12004	424509
275	12051	424583
276	12112	425144
277	12165	425455
278	12212	425515
279	12257	425514
280	12302	425496
281	12349	425561
282	12403	425866
283	12451	425985
284	12496	425961
285	12539	425917
286	12586	425983
287	12648	426535
288	12694	426571
289	12743	426673
290	12790	426737
291	12835	426728
292	12881	426776
293	12931	426905
294	12975	426884
295	13019	426825
296	13067	426910
297	13119	427116
298	13165	427141
299	13212	427189
300	13252	427042
301	13297	427007
302	13332	426675
303	13375	426607
304	13420	426588
305	13465	426588
